trainable params: 29,933,568 || all params: 3,115,872,256 || trainable%: 0.9607
{'loss': '0.6921', 'grad_norm': '0.6697', 'learning_rate': '8.911e-06', 'epoch': '0.008864'}
{'loss': '0.4066', 'grad_norm': '0.2607', 'learning_rate': '1.881e-05', 'epoch': '0.01773'}
{'loss': '0.07585', 'grad_norm': '0.1043', 'learning_rate': '2.871e-05', 'epoch': '0.02659'}
{'loss': '0.0576', 'grad_norm': '0.09653', 'learning_rate': '3.861e-05', 'epoch': '0.03546'}
{'loss': '0.1107', 'grad_norm': '0.07947', 'learning_rate': '4.851e-05', 'epoch': '0.04432'}
{'loss': '0.05908', 'grad_norm': '0.1171', 'learning_rate': '5.842e-05', 'epoch': '0.05319'}
{'loss': '0.04378', 'grad_norm': '0.04246', 'learning_rate': '6.832e-05', 'epoch': '0.06205'}
{'loss': '0.07617', 'grad_norm': '0.03687', 'learning_rate': '7.822e-05', 'epoch': '0.07091'}
{'loss': '0.03971', 'grad_norm': '0.0425', 'learning_rate': '8.812e-05', 'epoch': '0.07978'}
{'loss': '0.02638', 'grad_norm': '0.02436', 'learning_rate': '9.802e-05', 'epoch': '0.08864'}
{'loss': '0.02753', 'grad_norm': '0.04784', 'learning_rate': '9.976e-05', 'epoch': '0.09751'}
{'loss': '0.02886', 'grad_norm': '0.05441', 'learning_rate': '9.945e-05', 'epoch': '0.1064'}
{'loss': '0.04966', 'grad_norm': '0.06048', 'learning_rate': '9.915e-05', 'epoch': '0.1152'}
{'loss': '0.02944', 'grad_norm': '0.04728', 'learning_rate': '9.884e-05', 'epoch': '0.1241'}
{'loss': '0.04847', 'grad_norm': '0.05126', 'learning_rate': '9.854e-05', 'epoch': '0.133'}
{'loss': '0.0292', 'grad_norm': '0.07464', 'learning_rate': '9.823e-05', 'epoch': '0.1418'}
{'loss': '0.05725', 'grad_norm': '0.03482', 'learning_rate': '9.793e-05', 'epoch': '0.1507'}
{'loss': '0.03349', 'grad_norm': '0.05171', 'learning_rate': '9.763e-05', 'epoch': '0.1596'}
{'loss': '0.02942', 'grad_norm': '0.04611', 'learning_rate': '9.732e-05', 'epoch': '0.1684'}
{'loss': '0.0697', 'grad_norm': '0.0255', 'learning_rate': '9.702e-05', 'epoch': '0.1773'}
{'eval_loss': '0.03726', 'eval_runtime': '56.48', 'eval_samples_per_second': '16.82', 'eval_steps_per_second': '8.41', 'epoch': '0.1773'}
{'loss': '0.03365', 'grad_norm': '0.04456', 'learning_rate': '9.671e-05', 'epoch': '0.1861'}
{'loss': '0.04449', 'grad_norm': '0.04445', 'learning_rate': '9.641e-05', 'epoch': '0.195'}
{'loss': '0.02607', 'grad_norm': '0.03214', 'learning_rate': '9.61e-05', 'epoch': '0.2039'}
{'loss': '0.0355', 'grad_norm': '0.04196', 'learning_rate': '9.58e-05', 'epoch': '0.2127'}
{'loss': '0.07391', 'grad_norm': '0.04692', 'learning_rate': '9.55e-05', 'epoch': '0.2216'}
{'loss': '0.03482', 'grad_norm': '0.02755', 'learning_rate': '9.519e-05', 'epoch': '0.2305'}
{'loss': '0.04911', 'grad_norm': '0.04305', 'learning_rate': '9.489e-05', 'epoch': '0.2393'}
{'loss': '0.03385', 'grad_norm': '0.0215', 'learning_rate': '9.458e-05', 'epoch': '0.2482'}
{'loss': '0.05472', 'grad_norm': '0.03921', 'learning_rate': '9.428e-05', 'epoch': '0.2571'}
{'loss': '0.06544', 'grad_norm': '0.0381', 'learning_rate': '9.397e-05', 'epoch': '0.2659'}
{'loss': '0.04572', 'grad_norm': '0.05657', 'learning_rate': '9.367e-05', 'epoch': '0.2748'}
{'loss': '0.04407', 'grad_norm': '0.02988', 'learning_rate': '9.337e-05', 'epoch': '0.2837'}
{'loss': '0.02526', 'grad_norm': '0.02636', 'learning_rate': '9.306e-05', 'epoch': '0.2925'}
{'loss': '0.0496', 'grad_norm': '0.01493', 'learning_rate': '9.276e-05', 'epoch': '0.3014'}
{'loss': '0.04276', 'grad_norm': '0.05922', 'learning_rate': '9.245e-05', 'epoch': '0.3102'}
{'loss': '0.04088', 'grad_norm': '0.01669', 'learning_rate': '9.215e-05', 'epoch': '0.3191'}
{'loss': '0.05216', 'grad_norm': '0.04887', 'learning_rate': '9.184e-05', 'epoch': '0.328'}
{'loss': '0.02945', 'grad_norm': '0.03109', 'learning_rate': '9.154e-05', 'epoch': '0.3368'}
{'loss': '0.06369', 'grad_norm': '0.03996', 'learning_rate': '9.124e-05', 'epoch': '0.3457'}
{'loss': '0.02195', 'grad_norm': '0.04668', 'learning_rate': '9.093e-05', 'epoch': '0.3546'}
{'eval_loss': '0.0341', 'eval_runtime': '56.29', 'eval_samples_per_second': '16.88', 'eval_steps_per_second': '8.438', 'epoch': '0.3546'}
{'loss': '0.04184', 'grad_norm': '0.0291', 'learning_rate': '9.063e-05', 'epoch': '0.3634'}
{'loss': '0.02318', 'grad_norm': '0.01657', 'learning_rate': '9.032e-05', 'epoch': '0.3723'}
{'loss': '0.0273', 'grad_norm': '0.03099', 'learning_rate': '9.002e-05', 'epoch': '0.3812'}
{'loss': '0.03966', 'grad_norm': '0.04397', 'learning_rate': '8.971e-05', 'epoch': '0.39'}
{'loss': '0.02547', 'grad_norm': '0.01871', 'learning_rate': '8.941e-05', 'epoch': '0.3989'}
{'loss': '0.01833', 'grad_norm': '0.02032', 'learning_rate': '8.911e-05', 'epoch': '0.4078'}
{'loss': '0.04352', 'grad_norm': '0.03456', 'learning_rate': '8.88e-05', 'epoch': '0.4166'}
{'loss': '0.03378', 'grad_norm': '0.02699', 'learning_rate': '8.85e-05', 'epoch': '0.4255'}
{'loss': '0.02467', 'grad_norm': '0.01965', 'learning_rate': '8.819e-05', 'epoch': '0.4343'}
{'loss': '0.0591', 'grad_norm': '0.02531', 'learning_rate': '8.789e-05', 'epoch': '0.4432'}
{'loss': '0.02663', 'grad_norm': '0.04074', 'learning_rate': '8.758e-05', 'epoch': '0.4521'}
{'loss': '0.03947', 'grad_norm': '0.02801', 'learning_rate': '8.728e-05', 'epoch': '0.4609'}
{'loss': '0.03096', 'grad_norm': '0.03266', 'learning_rate': '8.698e-05', 'epoch': '0.4698'}
{'loss': '0.02687', 'grad_norm': '0.02407', 'learning_rate': '8.667e-05', 'epoch': '0.4787'}
{'loss': '0.0557', 'grad_norm': '0.04899', 'learning_rate': '8.637e-05', 'epoch': '0.4875'}
{'loss': '0.02403', 'grad_norm': '0.008066', 'learning_rate': '8.606e-05', 'epoch': '0.4964'}
{'loss': '0.05033', 'grad_norm': '0.03185', 'learning_rate': '8.576e-05', 'epoch': '0.5053'}
{'loss': '0.04573', 'grad_norm': '0.02617', 'learning_rate': '8.545e-05', 'epoch': '0.5141'}
{'loss': '0.03906', 'grad_norm': '0.1249', 'learning_rate': '8.515e-05', 'epoch': '0.523'}
{'loss': '0.01795', 'grad_norm': '0.04101', 'learning_rate': '8.484e-05', 'epoch': '0.5319'}
{'eval_loss': '0.03343', 'eval_runtime': '56.47', 'eval_samples_per_second': '16.82', 'eval_steps_per_second': '8.412', 'epoch': '0.5319'}
{'loss': '0.03456', 'grad_norm': '0.03791', 'learning_rate': '8.454e-05', 'epoch': '0.5407'}
{'loss': '0.04638', 'grad_norm': '0.008177', 'learning_rate': '8.424e-05', 'epoch': '0.5496'}
{'loss': '0.02927', 'grad_norm': '0.02257', 'learning_rate': '8.393e-05', 'epoch': '0.5584'}
{'loss': '0.06992', 'grad_norm': '0.008916', 'learning_rate': '8.363e-05', 'epoch': '0.5673'}
{'loss': '0.04831', 'grad_norm': '0.02543', 'learning_rate': '8.332e-05', 'epoch': '0.5762'}
{'loss': '0.03222', 'grad_norm': '0.02424', 'learning_rate': '8.302e-05', 'epoch': '0.585'}
{'loss': '0.0779', 'grad_norm': '0.02949', 'learning_rate': '8.271e-05', 'epoch': '0.5939'}
{'loss': '0.02792', 'grad_norm': '0.01518', 'learning_rate': '8.241e-05', 'epoch': '0.6028'}
{'loss': '0.02799', 'grad_norm': '0.02136', 'learning_rate': '8.211e-05', 'epoch': '0.6116'}
{'loss': '0.05411', 'grad_norm': '0.02499', 'learning_rate': '8.18e-05', 'epoch': '0.6205'}
{'loss': '0.01949', 'grad_norm': '0.0288', 'learning_rate': '8.15e-05', 'epoch': '0.6294'}
{'loss': '0.0479', 'grad_norm': '0.06699', 'learning_rate': '8.119e-05', 'epoch': '0.6382'}
{'loss': '0.05881', 'grad_norm': '0.1204', 'learning_rate': '8.089e-05', 'epoch': '0.6471'}
{'loss': '0.03465', 'grad_norm': '0.02411', 'learning_rate': '8.058e-05', 'epoch': '0.656'}
{'loss': '0.0621', 'grad_norm': '0.02637', 'learning_rate': '8.028e-05', 'epoch': '0.6648'}
{'loss': '0.03088', 'grad_norm': '0.02014', 'learning_rate': '7.998e-05', 'epoch': '0.6737'}
{'loss': '0.04694', 'grad_norm': '0.04359', 'learning_rate': '7.967e-05', 'epoch': '0.6825'}
{'loss': '0.05535', 'grad_norm': '0.04326', 'learning_rate': '7.937e-05', 'epoch': '0.6914'}
