trainable params: 29,933,568 || all params: 3,115,872,256 || trainable%: 0.9607
{'loss': '0.6943', 'grad_norm': '0.2696', 'learning_rate': '0', 'epoch': '0.0005387'}
{'loss': '0.6866', 'grad_norm': '0.3995', 'learning_rate': '3.273e-06', 'epoch': '0.005387'}
{'loss': '0.6204', 'grad_norm': '0.303', 'learning_rate': '6.909e-06', 'epoch': '0.01077'}
{'loss': '0.5104', 'grad_norm': '0.3517', 'learning_rate': '1.055e-05', 'epoch': '0.01616'}
{'loss': '0.3715', 'grad_norm': '0.1129', 'learning_rate': '1.418e-05', 'epoch': '0.02155'}
{'loss': '0.2951', 'grad_norm': '0.1824', 'learning_rate': '1.782e-05', 'epoch': '0.02694'}
{'loss': '0.2172', 'grad_norm': '0.6763', 'learning_rate': '1.996e-05', 'epoch': '0.03232'}
{'loss': '0.1345', 'grad_norm': '0.154', 'learning_rate': '1.984e-05', 'epoch': '0.03771'}
{'loss': '0.1683', 'grad_norm': '0.5554', 'learning_rate': '1.973e-05', 'epoch': '0.0431'}
{'loss': '0.2133', 'grad_norm': '1.052', 'learning_rate': '1.962e-05', 'epoch': '0.04848'}
{'loss': '0.1029', 'grad_norm': '0.03813', 'learning_rate': '1.951e-05', 'epoch': '0.05387'}
{'loss': '0.1387', 'grad_norm': '0.3216', 'learning_rate': '1.94e-05', 'epoch': '0.05926'}
{'loss': '0.1629', 'grad_norm': '0.205', 'learning_rate': '1.929e-05', 'epoch': '0.06465'}
{'loss': '0.1389', 'grad_norm': '0.08716', 'learning_rate': '1.918e-05', 'epoch': '0.07003'}
{'loss': '0.09263', 'grad_norm': '0.1091', 'learning_rate': '1.907e-05', 'epoch': '0.07542'}
{'loss': '0.09759', 'grad_norm': '0.4737', 'learning_rate': '1.896e-05', 'epoch': '0.08081'}
{'loss': '0.09678', 'grad_norm': '0.07408', 'learning_rate': '1.885e-05', 'epoch': '0.0862'}
{'loss': '0.1332', 'grad_norm': '0.6813', 'learning_rate': '1.873e-05', 'epoch': '0.09158'}
{'loss': '0.09662', 'grad_norm': '0.3233', 'learning_rate': '1.862e-05', 'epoch': '0.09697'}
{'loss': '0.1928', 'grad_norm': '0.8991', 'learning_rate': '1.851e-05', 'epoch': '0.1024'}
{'loss': '0.1607', 'grad_norm': '0.2429', 'learning_rate': '1.84e-05', 'epoch': '0.1077'}
{'eval_loss': '0.1365', 'eval_runtime': '39.43', 'eval_samples_per_second': '3.804', 'eval_steps_per_second': '3.804', 'epoch': '0.1077'}
{'loss': '0.09461', 'grad_norm': '0.08556', 'learning_rate': '1.829e-05', 'epoch': '0.1131'}
{'loss': '0.09309', 'grad_norm': '0.2751', 'learning_rate': '1.818e-05', 'epoch': '0.1185'}
{'loss': '0.1284', 'grad_norm': '0.174', 'learning_rate': '1.807e-05', 'epoch': '0.1239'}
{'loss': '0.1253', 'grad_norm': '0.3465', 'learning_rate': '1.796e-05', 'epoch': '0.1293'}
{'loss': '0.1198', 'grad_norm': '0.1857', 'learning_rate': '1.785e-05', 'epoch': '0.1347'}
{'loss': '0.129', 'grad_norm': '0.05575', 'learning_rate': '1.774e-05', 'epoch': '0.1401'}
{'loss': '0.1486', 'grad_norm': '0.1073', 'learning_rate': '1.762e-05', 'epoch': '0.1455'}
{'loss': '0.1148', 'grad_norm': '0.2788', 'learning_rate': '1.751e-05', 'epoch': '0.1508'}
{'loss': '0.2441', 'grad_norm': '0.129', 'learning_rate': '1.74e-05', 'epoch': '0.1562'}
{'loss': '0.1549', 'grad_norm': '0.1841', 'learning_rate': '1.729e-05', 'epoch': '0.1616'}
{'loss': '0.06681', 'grad_norm': '0.09266', 'learning_rate': '1.718e-05', 'epoch': '0.167'}
{'loss': '0.08015', 'grad_norm': '0.02827', 'learning_rate': '1.707e-05', 'epoch': '0.1724'}
{'loss': '0.07147', 'grad_norm': '0.08794', 'learning_rate': '1.696e-05', 'epoch': '0.1778'}
{'loss': '0.156', 'grad_norm': '1.119', 'learning_rate': '1.685e-05', 'epoch': '0.1832'}
{'loss': '0.08103', 'grad_norm': '0.2928', 'learning_rate': '1.674e-05', 'epoch': '0.1886'}
{'loss': '0.0623', 'grad_norm': '0.02578', 'learning_rate': '1.663e-05', 'epoch': '0.1939'}
{'loss': '0.1143', 'grad_norm': '0.5824', 'learning_rate': '1.651e-05', 'epoch': '0.1993'}
{'loss': '0.07127', 'grad_norm': '0.2151', 'learning_rate': '1.64e-05', 'epoch': '0.2047'}
{'loss': '0.09228', 'grad_norm': '0.0953', 'learning_rate': '1.629e-05', 'epoch': '0.2101'}
{'loss': '0.07885', 'grad_norm': '0.2059', 'learning_rate': '1.618e-05', 'epoch': '0.2155'}
{'eval_loss': '0.1759', 'eval_runtime': '39.84', 'eval_samples_per_second': '3.765', 'eval_steps_per_second': '3.765', 'epoch': '0.2155'}
{'loss': '0.1', 'grad_norm': '0.4223', 'learning_rate': '1.607e-05', 'epoch': '0.2209'}
{'loss': '0.13', 'grad_norm': '0.343', 'learning_rate': '1.596e-05', 'epoch': '0.2263'}
{'loss': '0.1241', 'grad_norm': '0.1327', 'learning_rate': '1.585e-05', 'epoch': '0.2316'}
{'loss': '0.1451', 'grad_norm': '0.0223', 'learning_rate': '1.574e-05', 'epoch': '0.237'}
{'loss': '0.07527', 'grad_norm': '0.05258', 'learning_rate': '1.563e-05', 'epoch': '0.2424'}
{'loss': '0.1355', 'grad_norm': '0.1815', 'learning_rate': '1.552e-05', 'epoch': '0.2478'}
{'loss': '0.14', 'grad_norm': '1.09', 'learning_rate': '1.541e-05', 'epoch': '0.2532'}
{'loss': '0.09098', 'grad_norm': '0.8002', 'learning_rate': '1.529e-05', 'epoch': '0.2586'}
{'loss': '0.08702', 'grad_norm': '0.1101', 'learning_rate': '1.518e-05', 'epoch': '0.264'}
